id,lat,lng,bathroom,bedroom,builtUp,carPark,maintenanceFee,maximumPricePerSizeUnit,minimumPricePerSizeUnit,pricePSF,addr_l1,addr_l2,addr_l3,currency,price_min,price_max,title
sale-7306773,3.040042,101.676764,3,4,"2,034",2,,,,,Selangor,Bandar Kinrara,,MYR,1130000,1130000,"24X70 Rimbun Kinrara Rimbun2 Bk7a, Bandar Kinrara"
sale-6451441,3.000248,101.62095,2,3,"1,252",2,,,,,Selangor,Puchong,Casa Tropika,MYR,430000,430000,"Casa Tropika, Puchong"
sale-7176988,2.985182,101.627154,3,4,"1,500",2,,,,,Selangor,Puchong,,MYR,488000,488000,"Taman Puchong Tekali, Puchong"
sale-3462640,3.071514,101.623551,2,3,"1,027",2,,550,550,550,Selangor,Puchong,Twinz Residences,MYR,535200,535200,"Twinz Residences, Puchong Jaya, Puchong"
sale-7159060,2.921318,101.655935,6,5+1,"3,800",0,,,,,Selangor,Puchong,,MYR,996000,996000,"New 3Sty Superlink Furnished Bu3800, Puchong"
sale-7302459,3.06848,101.657397,2,3,903,2,,,,,Kuala Lumpur,Jalan Klang Lama (Old Klang Road),The Nest @ Jln Klang Lama,MYR,580000,580000,"The Nest @ Jln Klang Lama, Old Klang Road, Jalan Klang Lama (Old Klang Road)"
sale-7250118,3.06848,101.657397,2,2,755,1,,,,,Kuala Lumpur,Jalan Klang Lama (Old Klang Road),The Nest @ Jln Klang Lama,MYR,470000,470000,"The Nest @ Jln Klang Lama, Old Klang Road, Jalan Klang Lama (Old Klang Road)"
sale-7298443,3.040042,101.676764,3,4,"2,034",2,,,,,Selangor,Bandar Kinrara,,MYR,1130000,1130000,"24X70 Rimbun Kinrara Rimbun2 Bk7a, Bandar Kinrara"
sale-6982860,3.032715,101.618802,6,5+1,"3,800",3,,,,,Selangor,Puchong,,MYR,995000,995000,"New 3Sty Superlink Furnish Bu 3800, Puchong"
sale-5219697,3.036538,101.603162,3,4,"2,167",2,,,,,Selangor,Puchong,,MYR,800000,800000,"Symphony, Lakeside Residence Puchong, Puchong"
sale-7296063,3.017902,101.628513,2,3,"1,172",2,,,,,Selangor,Puchong,Aseana Puteri,MYR,545000,545000,"Aseana Puteri, Bandar Puteri Puchong, Puchong"
sale-7010123,3.048125,101.630557,2,3,"1,173",2,,631,631,631,Selangor,Puchong,Sky Condominium (Skyz Residence),MYR,740267,740267,"Sky Condominium (Skyz Residence), Bandar Puchong Jaya, Puchong"
sale-6933570,3.032715,101.618802,3,4,"1,500",2,,,,,Selangor,Puchong,,MYR,538000,538000,"Puchong Prima 3, Otk, Puchong, Puchong"
sale-6015261,3.024681,101.673892,9,8+1,"7,500",8,,613,613,613,Selangor,Bandar Kinrara,,MYR,4580000,4580000,"Ambrosia@Kinrara Residence, Puchong, Bandar Kinrara"
sale-6633685,3.074698,101.659183,2,3+1,900,1,,588,588,588,Kuala Lumpur,Jalan Klang Lama (Old Klang Road),Tiara Mutiara 2,MYR,530000,530000,"Tiara Mutiara 2, Jalan Klang Lama (Old Klang Road)"
sale-7243296,3.026462,101.628906,2,3,870,1,,,,,Selangor,Puchong,Desa Tanjung,MYR,268000,268000,"Desa Tanjung, Taman Wawasan, Puchong"
sale-4645991,2.936512,101.613192,5,4+1,"3,750",4,,,,,Selangor,Bandar Kinrara,,MYR,998000,998000,"New 3Sty Mansion Residence Puchong 19, Bandar Kinrara"
sale-6709513,3.065028,101.623869,2,3,"1,072",1,,,,,Selangor,Puchong,Koi Kinrara,MYR,460000,460000,"Koi Kinrara, Bandar Puchong Jaya, Puchong"
sale-7107872,3.032715,101.618802,3,4,"1,800",4,,,,,Selangor,Puchong,,MYR,588000,588000,"Bandar Bukit Puchong, Puchong"
sale-7282655,3.020098,101.626754,2,3,850,2,,,,,Selangor,Puchong,Sri Cassia,MYR,500000,500000,"Sri Cassia, Puchong"
sale-5895392,2.965442,101.592945,5,4+1,"2,610",3,,,,,Selangor,Puchong,X2 Residency,MYR,650000,650000,"X2 Residency, Puchong"
sale-6897823,2.991607,101.614706,6,5+1,"4,300",2,,,,,Selangor,Puchong,,MYR,970000,970000,"Bandar Puteri, Puchong"
