addr_l3,price_mean,price_median,price_min,price_max,lat,lng
Saville D'lake,465608,399000,350000,599000,2.956715,101.616135
Dahlia Apartment,107000,100000,95000,130000,2.941635,101.62208
Impian Heights,391433,380000,1000,630000,3.064292,101.62674
Sri Kesidang,304618,288888,270000,420000,3.03891,101.628426
Skypod Residence,601885,618000,418000,850000,3.043572,101.62078
Palm Terrace,186800,190000,162000,210000,3.064821,101.64723
Kenanga Apartment,234000,175000,120000,418000,2.947841,101.61366
K Boulevard,420000,410000,310000,550000,3.063044,101.521576
Skyvilla @ D'Island,626220,640000,1200,850000,2.960684,101.60622
The Heron Residency,300600,300000,250000,340000,2.989138,101.62631
Epic Suites,537056,508000,380000,858000,2.985188,101.6231
Pangsapuri Jati,140000,140000,140000,140000,2.973992,101.58151
1K Tricourt,248000,248000,248000,248000,3.077325,101.66017
Saujana Puchong Apartment,97571,94000,75000,135000,2.993878,101.63942
Sri Cempaka,274392,280000,205000,339000,3.028701,101.629074
Twinz Residences,587000,600000,535200,600000,3.071514,101.62355
La Thea Residences,474170,452000,250000,600000,2.969072,101.65869
Vista Millennium Condominium,286375,278000,211000,450000,3.003202,101.60157
D' Cahaya Apartment,336937,340000,300000,380000,3.048383,101.63341
Sri Tanjung,338857,330000,261000,450000,3.06125,101.62581
Tasik Residency,669928,680000,609000,850000,2.966006,101.59353
Hijauan Puteri Condominium,432620,430000,378000,495000,3.006856,101.624176
Avilla Apartments,426721,450000,1700,495000,3.050506,101.620285
Trigon Luxury Residences,826330,700000,3000,1500000,3.02925,101.615685
Pangsapuri Damai Utama,150000,150000,150000,150000,3.033801,101.6717
Villamas Apartment,366450,360000,335000,415000,3.068085,101.623985
Pinang 1B Gallery 1E,334500,340000,290000,368000,3.077162,101.65423
Pangsapuri Saraka,364906,360000,300000,400000,3.031616,101.62774
Sri Cassia,339736,325000,275000,500000,3.020098,101.626755
Sri Dahlia,165285,156000,148000,205000,3.008666,101.62445
D'Aman Residences @ Puchong,391878,407999,1300,520000,2.976257,101.58175
Pangsapuri Lili,130000,130000,130000,130000,2.992617,101.59621
Calisa M @ Calisa Residences,291700,268000,259000,370000,2.974262,101.58133
PPR Kampung Muhibbah,180000,180000,180000,180000,3.066572,101.65185
Pangsapuri Melor,102060,102060,102060,102060,2.987142,101.595085
Tiara Mutiara / The Crown,445067,420000,340000,850000,3.075124,101.65974
The Nest @ Jln Klang Lama,590158,560000,1500,817000,3.071873,101.65789
Desa Tanjung,301871,299000,235000,400000,3.026462,101.62891
Nilam Puri,360100,330000,290000,460000,2.97936,101.62819
Amani Residence,501310,480000,463478,550000,3.002584,101.627754
Sri Penaga,299916,299000,255000,380000,3.03502,101.6283
Permai Villa,300000,285000,257000,350000,3.009384,101.59766
Golden Height & Elite,238333,185000,165000,380000,2.973445,101.579956
Semarak Apartment,237750,218000,210000,298000,3.023848,101.625854
Pangsapuri Orchid,220000,210000,205000,245000,3.002088,101.59982
Saujana Puchong Flat,124000,88000,88000,160000,2.98997,101.63942
Apartment Seroja,150000,150000,150000,150000,2.934154,101.602005
Menara KLH Puchong,250272,250000,225000,300000,3.054776,101.61873
Sri Kenanga,318750,315000,260000,350000,3.051875,101.62665
Le Pavillion,492822,608000,700,735000,3.02271,101.623924
Park Villa,643967,636000,618550,720000,3.066964,101.62503
Casa Tropika,427488,420000,365000,565000,2.996838,101.62185
Zentro Residences,363000,363000,363000,363000,2.973854,101.659615
